"","PROJEK SMART Selangor 2018","","PROJEK SMART Selangor 2019"
"1.","Sistem Parkir & Kompaun 
Berintegrasi Di Negeri Selangor","1.","Sistem Parkir & Kompaun 
Berintegrasi di Negeri Selangor 
Enchancement"
"2.","Community Opinions On-Line 
(COOL) Enhancement","2.","Selangor Wide Area Network"
"3.","Pasar Pintar dan Peladang Pintar","3.","Smart Selangor Data Centre"
"4.","Intelligent Response Selangor 
Enhancement","4.","Sistem Analitik CCTV 
Enhancement"
"5.","Feasibilty study – Selangor Wide 
Area Network","5.","Big Data Analytics"
"6.","Feasibility study – Smart Selangor 
Data Centre","6.","Smart Recycling"
"7.","Sistem pemantauan Aliran Trafik","7.","AWS Cloudstart"
"8.","Sistem Analitik CCTV","8.","Smart Street Lamp"
"9.","Smart Selangor Bus Stop","9.","Smart Selangor Command Centre 
Enhancement"
"","10.  Smart Selangor Command Centre","10.  Smart Selangor Bus Stop","Expansion"
"","11.  Pemantauan Indeks Kualiti Udara","","11.  Selangor Smart City Conference 
and Exhibition"
