,"Bilangan Penduduk Tahun 2000 dan 2010

",,,,,,,

,Kampung,Bilangan Penduduk Tahun 2000,Peratus (%),Bilangan Penduduk Tahun 2010,Peratus (%),,,
,Kg. Periok  & Kg. Hujung Pasir,2345,14.05,1252,6.81,,,
,Kg. Atas A,1528,9.16,3539,19.260000000000002,,,
,Kg. Atas B,767,4.5999999999999996,1235,6.72,,,
,Kg. Masjid ,2690,16.12,2407,13.1,,,
,Kg. Pindah,3556,21.31,986,5.37,,,
,Kg. Paya & Pasar Minggu,2259,13.54,4193,22.82,,,
,Raja Bot,970,5.81,1800,9.8000000000000007,,,
,Jalan  Sg.Baru,689,4.13,1057,5.75,,,
,Flat PKNS,1884,11.29,1903,10.36,,,
,Jumlah,16688,100,18372,100,,,
,"Sumber: Data Banci Penduduk dan Perumahan Malaysia, 2010
               Laporan Penemuan Draf Pelan Tempatan Kg. Bharu, 2007",,,,,,,
